id,task_type,explanation_text,original_srta_score,ground_truth
previous_001,CoLA,Your actual explanation text from sample 1,,
previous_002,XNLI,Your actual explanation text from sample 2,,
previous_003,CoLA,Your actual explanation text from sample 3,,
previous_004,XNLI,Your actual explanation text from sample 4,,
previous_005,CoLA,Your actual explanation text from sample 5,,
previous_006,XNLI,Your actual explanation text from sample 6,,
previous_007,CoLA,Your actual explanation text from sample 7,,
previous_008,XNLI,Your actual explanation text from sample 8,,
previous_009,CoLA,Your actual explanation text from sample 9,,
previous_010,XNLI,Your actual explanation text from sample 10,,
previous_011,CoLA,Your actual explanation text from sample 11,,
previous_012,XNLI,Your actual explanation text from sample 12,,
previous_013,CoLA,Your actual explanation text from sample 13,,
previous_014,XNLI,Your actual explanation text from sample 14,,
previous_015,CoLA,Your actual explanation text from sample 15,,
previous_016,XNLI,Your actual explanation text from sample 16,,
previous_017,CoLA,Your actual explanation text from sample 17,,
previous_018,XNLI,Your actual explanation text from sample 18,,
previous_019,CoLA,Your actual explanation text from sample 19,,
previous_020,XNLI,Your actual explanation text from sample 20,,
previous_021,CoLA,Your actual explanation text from sample 21,,
previous_022,XNLI,Your actual explanation text from sample 22,,
previous_023,CoLA,Your actual explanation text from sample 23,,
previous_024,XNLI,Your actual explanation text from sample 24,,
previous_025,CoLA,Your actual explanation text from sample 25,,
previous_026,XNLI,Your actual explanation text from sample 26,,
previous_027,CoLA,Your actual explanation text from sample 27,,
previous_028,XNLI,Your actual explanation text from sample 28,,
previous_029,CoLA,Your actual explanation text from sample 29,,
previous_030,XNLI,Your actual explanation text from sample 30,,
previous_031,CoLA,Your actual explanation text from sample 31,,
previous_032,XNLI,Your actual explanation text from sample 32,,
previous_033,CoLA,Your actual explanation text from sample 33,,
previous_034,XNLI,Your actual explanation text from sample 34,,
previous_035,CoLA,Your actual explanation text from sample 35,,
previous_036,XNLI,Your actual explanation text from sample 36,,
previous_037,CoLA,Your actual explanation text from sample 37,,
previous_038,XNLI,Your actual explanation text from sample 38,,
previous_039,CoLA,Your actual explanation text from sample 39,,
previous_040,XNLI,Your actual explanation text from sample 40,,
previous_041,CoLA,Your actual explanation text from sample 41,,
previous_042,XNLI,Your actual explanation text from sample 42,,
previous_043,CoLA,Your actual explanation text from sample 43,,
previous_044,XNLI,Your actual explanation text from sample 44,,
previous_045,CoLA,Your actual explanation text from sample 45,,
previous_046,XNLI,Your actual explanation text from sample 46,,
previous_047,CoLA,Your actual explanation text from sample 47,,
previous_048,XNLI,Your actual explanation text from sample 48,,
previous_049,CoLA,Your actual explanation text from sample 49,,
previous_050,XNLI,Your actual explanation text from sample 50,,
previous_051,CoLA,Your actual explanation text from sample 51,,
previous_052,XNLI,Your actual explanation text from sample 52,,
previous_053,CoLA,Your actual explanation text from sample 53,,
previous_054,XNLI,Your actual explanation text from sample 54,,
previous_055,CoLA,Your actual explanation text from sample 55,,
previous_056,XNLI,Your actual explanation text from sample 56,,
